Date,Open,High,Low,Close,Volume,Sentiment,Change,Prediction
2020-05-12,24292.83984375,24382.08984375,23761.580078125,23764.779296875,359480000,0.0,-457.2109375,23247.970703125
2020-05-13,23702.16015625,23708.900390625,23067.640625,23247.970703125,469950000,0.0,-516.80859375,23625.33984375
2020-05-14,23049.060546875,23630.859375,22789.619140625,23625.33984375,472700000,-0.3679,377.369140625,23685.419921875
2020-05-15,23454.830078125,23730.080078125,23354.150390625,23685.419921875,491510000,0.0,60.080078125,24597.369140625
2020-05-18,24059.98046875,24708.5390625,24059.98046875,24597.369140625,484190000,0.0,911.94921875,24206.859375
2020-05-19,24577.48046875,24599.5,24202.9609375,24206.859375,374100000,-0.2732,-390.509765625,24575.900390625
2020-05-20,24455.939453125,24649.48046875,24455.939453125,24575.900390625,366510000,0.0,369.041015625,24474.119140625
2020-05-21,24564.26953125,24718.4609375,24370.880859375,24474.119140625,346770000,0.6808,-101.78125,24465.16015625
2020-05-22,24461.98046875,24481.640625,24294.0703125,24465.16015625,255660000,0.0,-8.958984375,24995.109375
2020-05-26,24781.83984375,25176.419921875,24781.83984375,24995.109375,424380000,0.4215,529.94921875,25548.26953125
2020-05-27,25298.630859375,25551.560546875,25009.869140625,25548.26953125,411230000,-0.4019,553.16015625,25400.640625
2020-05-28,25697.359375,25758.7890625,25358.73046875,25400.640625,377800000,0.0,-147.62890625,25383.109375
2020-05-29,25324.150390625,25482.80078125,25031.669921875,25383.109375,527620000,0.0,-17.53125,25475.01953125
2020-06-01,25342.990234375,25508.830078125,25220.66015625,25475.01953125,338310000,0.0,91.91015625,25742.650390625
2020-06-02,25582.51953125,25743.130859375,25523.740234375,25742.650390625,352610000,0.0,267.630859375,26269.890625
2020-06-03,25906.880859375,26337.75,25906.880859375,26269.890625,398790000,0.0,527.240234375,26281.8203125
2020-06-04,26226.490234375,26384.099609375,26082.310546875,26281.8203125,372190000,0.024999999999999967,11.9296875,27110.98046875
2020-06-05,26836.80078125,27338.30078125,26836.80078125,27110.98046875,542310000,0.0,829.16015625,27572.439453125
2020-06-08,27232.9296875,27580.2109375,27232.48046875,27572.439453125,430200000,0.0,461.458984375,27272.30078125
2020-06-09,27447.369140625,27447.369140625,27151.060546875,27272.30078125,381430000,0.2553,-300.138671875,26989.990234375
2020-06-10,27251.890625,27355.220703125,26938.05078125,26989.990234375,448930000,0.0,-282.310546875,25128.169921875
2020-06-11,26282.509765625,26294.080078125,25082.720703125,25128.169921875,647780000,0.0,-1861.8203125,25605.5390625
2020-06-12,25659.419921875,25965.55078125,25078.41015625,25605.5390625,514440000,-0.1779,477.369140625,25763.16015625
2020-06-15,25270.390625,25891.580078125,24843.1796875,25763.16015625,461230000,0.0,157.62109375,26289.98046875
2020-06-16,26326.6796875,26611.029296875,25811.69921875,26289.98046875,489500000,0.0,526.8203125,26119.609375
2020-06-17,26330.51953125,26400.0703125,26068.41015625,26119.609375,328830000,0.0,-170.37109375,26080.099609375
2020-06-18,26016.44921875,26154.19921875,25848.529296875,26080.099609375,328390000,0.0,-39.509765625,25871.4609375
2020-06-19,26213.099609375,26451.439453125,25759.66015625,25871.4609375,669390000,0.0,-208.638671875,26024.9609375
2020-06-22,25865.080078125,26059.810546875,25667.6796875,26024.9609375,351780000,0.0,153.5,26156.099609375
2020-06-23,26159.390625,26314.970703125,26105.970703125,26156.099609375,389980000,0.0,131.138671875,25445.939453125
2020-06-24,25992.9609375,25992.9609375,25296.73046875,25445.939453125,450120000,0.0,-710.16015625,25745.599609375
2020-06-25,25365.220703125,25769.609375,25209.7890625,25745.599609375,384560000,0.0,299.66015625,25015.55078125
2020-06-26,25641.689453125,25641.689453125,24971.029296875,25015.55078125,640860000,0.0,-730.048828125,25595.80078125
2020-06-29,25152.44921875,25601.150390625,25096.16015625,25595.80078125,378070000,0.0,580.25,25812.880859375
2020-06-30,25512.4296875,25905.380859375,25475.140625,25812.880859375,410780000,0.7579,217.080078125,25734.970703125
2020-07-01,25879.380859375,26019.310546875,25713.609375,25734.970703125,373180000,0.0,-77.91015625,25827.359375
2020-07-02,25936.44921875,26204.41015625,25778.119140625,25827.359375,349130000,-0.5719,92.388671875,26287.029296875
2020-07-06,25996.080078125,26297.529296875,25996.080078125,26287.029296875,340690000,0.0,459.669921875,25890.1796875
2020-07-07,26172.009765625,26174.9296875,25866.580078125,25890.1796875,346820000,0.0,-396.849609375,26067.279296875
2020-07-08,25950.060546875,26109.490234375,25816.25,26067.279296875,337300000,-0.6249,177.099609375,25706.08984375
2020-07-09,26094.919921875,26103.279296875,25523.509765625,25706.08984375,387610000,0.0,-361.189453125,26075.30078125
2020-07-10,25690.349609375,26101.3203125,25637.5,26075.30078125,338170000,0.0,369.2109375,26085.80078125
2020-07-13,26225.0703125,26639.08984375,26044.23046875,26085.80078125,425320000,0.09809999999999999,10.5,26642.58984375
2020-07-14,26044.169921875,26690.51953125,25994.98046875,26642.58984375,401640000,0.0,556.7890625,26870.099609375
2020-07-15,27009.810546875,27071.330078125,26692.48046875,26870.099609375,384900000,0.0,227.509765625,26734.7109375
2020-07-16,26746.5703125,26879.16015625,26590.009765625,26734.7109375,287330000,0.0,-135.388671875,26671.94921875
2020-07-17,26774.619140625,26808.4296875,26619.880859375,26671.94921875,296460000,0.0,-62.76171875,26680.869140625
2020-07-20,26660.2890625,26765.01953125,26504.19921875,26680.869140625,309390000,0.0,8.919921875,26840.400390625
2020-07-21,26833.140625,27025.380859375,26766.220703125,26840.400390625,364930000,0.0,159.53125,27005.83984375
